date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:05	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2004:02:06%20GMT	https://axieinfinity.com/robots.txt		(from )
01:02:07	43898/43898	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:49:10%20GMT	https://axieinfinity.com/	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/index.html	(from )
01:02:07	2336/2336	---M--	200	added ('OK')	image/png	etag:%22632ac1f6-920%22	https://axieinfinity.com/favicon.png	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/favicon.png	(from https://axieinfinity.com/)
01:02:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2022%20Sep%202022%2004:02:08%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mis%20lugares%20Web/axie2/www.googletagmanager.com/gtm.15445.delayed	(from https://axieinfinity.com/)
01:02:07	4005/4005	---MCZ	200	added ('OK')	text/css	etag:W/%22e7f7ed56f76aa8d1010f9d67f10edaf1%22	https://cdn.axieinfinity.com/landing-page/_next/static/css/7069a40ce2daffa088ff.css	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/css/7069a40ce2daffa088ff.css	(from https://axieinfinity.com/)
01:02:08	45864/45864	---MCZ	200	added ('OK')	text/css	etag:W/%22338ba607a3c2b1ddb64f726ed880fd5f%22	https://cdn.axieinfinity.com/landing-page/_next/static/css/be2b7e1ccf898214cacc.css	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/css/be2b7e1ccf898214cacc.css	(from https://axieinfinity.com/)
01:02:08	17697/17697	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c9b3097ff3b60177b9d81e86ad4459f5%22	https://cdn.axieinfinity.com/landing-page/_next/static/chunks/main-01d169ae84ec8b09e91c.js	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/chunks/main-01d169ae84ec8b09e91c.js	(from https://axieinfinity.com/)
01:02:08	2414/2414	---MCZ	200	added ('OK')	text/javascript	etag:W/%223ce1e236457aa6be9cbb466613a7ee20%22	https://cdn.axieinfinity.com/landing-page/_next/static/chunks/webpack-f229451fcd84ee4352b2.js	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/chunks/webpack-f229451fcd84ee4352b2.js	(from https://axieinfinity.com/)
01:02:08	130015/130015	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f8b1a62a1c400a2e2aea79113ddb38b1%22	https://cdn.axieinfinity.com/landing-page/_next/static/chunks/framework.f598e0990aff9dd73d45.js	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/chunks/framework.f598e0990aff9dd73d45.js	(from https://axieinfinity.com/)
01:02:09	36527/36527	---MCZ	200	added ('OK')	text/javascript	etag:W/%221df9b8154ecd603b841921095d3ab007%22	https://cdn.axieinfinity.com/landing-page/_next/static/chunks/commons.59010d50a4e18b63183c.js	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/chunks/commons.59010d50a4e18b63183c.js	(from https://axieinfinity.com/)
01:02:09	61341/61341	---MCZ	200	added ('OK')	text/javascript	etag:W/%22908e08cdb041f17e2441149758a2e695%22	https://cdn.axieinfinity.com/landing-page/_next/static/chunks/ea972cf8d3540b200d3444bc7e8d302ef618a26a.999bba3bae3135dec85a.js	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/chunks/ea972cf8d3540b200d3444bc7e8d302ef618a26a.999bba3bae3135dec85a.js	(from https://axieinfinity.com/)
01:02:09	42583/42583	---MCZ	200	added ('OK')	text/javascript	etag:W/%2290aaf97d9cf6249954b8b63c614a929d%22	https://cdn.axieinfinity.com/landing-page/_next/static/chunks/pages/_app-5335e9c074fe2740b17c.js	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/chunks/pages/_app-5335e9c074fe2740b17c.js	(from https://axieinfinity.com/)
01:02:09	99076/99076	---MCZ	200	added ('OK')	text/javascript	etag:W/%22be672e9661e630aabc6c099e4d9312f7%22	https://cdn.axieinfinity.com/landing-page/_next/static/chunks/374ab9f2b5807fdb9de6dbc7edbabee8a820aa77.9c84922e9c4604f46701.js	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/chunks/374ab9f2b5807fdb9de6dbc7edbabee8a820aa77.9c84922e9c4604f46701.js	(from https://axieinfinity.com/)
01:02:10	69/69	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b54e11e9a03640be21a29dcee2e7436c%22	https://cdn.axieinfinity.com/landing-page/_next/static/chunks/374ab9f2b5807fdb9de6dbc7edbabee8a820aa77_CSS.e1033ba52a9d5b03d3fc.js	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/chunks/374ab9f2b5807fdb9de6dbc7edbabee8a820aa77_CSS.e1033ba52a9d5b03d3fc.js	(from https://axieinfinity.com/)
01:02:10	200/200	---MCZ	200	added ('OK')	text/javascript	etag:W/%229b2eda449ea05f266fe0cc1ced3b7e8b%22	https://cdn.axieinfinity.com/landing-page/_next/static/chunks/pages/index-b8a55851a99b185395de.js	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/chunks/pages/index-b8a55851a99b185395de.js	(from https://axieinfinity.com/)
01:02:10	22280/22280	---M-Z	200	added ('OK')	image/png	etag:%226f4661137faf4ece5359b575515b50c0%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/logo-a8df72f45ef40c2f8b6a4c73da08fcb3.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/logo-a8df72f45ef40c2f8b6a4c73da08fcb3.png	(from https://axieinfinity.com/)
01:02:11	206784/206784	---M-Z	200	added ('OK')	image/png	etag:%2202e4a8f8ed11788246e7603bfb3eee23%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/moon-7557aaf1f5d78159603d2a47cae51fa8.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/moon-7557aaf1f5d78159603d2a47cae51fa8.png	(from https://axieinfinity.com/)
01:02:11	2276038/2276038	---M--	200	added ('OK')	image/png	etag:%2204d172b02d9165c4f38823952c85a509%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/cloud-ring-b9996e3e8fe9b463920384977b0d854c.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/cloud-ring-b9996e3e8fe9b463920384977b0d854c.png	(from https://axieinfinity.com/)
01:02:18	1355345/1355345	---M-Z	200	added ('OK')	image/png	etag:%22ceae4d3a18a9dfa6e0908dd163287603%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/banner-941f68fe82413ac57390b1d4b6ca51ef.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/banner-941f68fe82413ac57390b1d4b6ca51ef.png	(from https://axieinfinity.com/)
01:02:19	5220397/5220397	---M-Z	200	added ('OK')	image/png	etag:%2235014b10d8ab51af9311f986b364edfa%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/cloud-right-9a0f5aaade736ce3540237e95092c057.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/cloud-right-9a0f5aaade736ce3540237e95092c057.png	(from https://axieinfinity.com/)
